iter	Passed	Remaining
0	6	6542
1	15	7918
2	26	8767
3	36	9155
4	46	9267
5	56	9389
6	66	9398
7	76	9450
8	85	9459
9	95	9405
10	103	9328
11	112	9265
12	121	9209
13	129	9133
14	139	9131
15	147	9078
16	156	9065
17	164	8993
18	173	8980
19	182	8928
20	190	8891
21	199	8867
22	207	8823
23	215	8782
24	224	8747
25	232	8724
26	242	8722
27	251	8741
28	260	8725
29	269	8726
30	278	8716
31	287	8704
32	297	8710
33	306	8696
34	314	8684
35	324	8677
36	333	8677
37	342	8668
38	356	8774
39	365	8772
40	374	8758
41	384	8759
42	392	8746
43	401	8720
44	409	8696
45	417	8654
46	425	8621
47	433	8592
48	441	8568
49	451	8575
50	460	8571
51	468	8535
52	476	8522
53	484	8492
54	492	8468
55	500	8438
56	508	8415
57	516	8384
58	524	8357
59	531	8333
60	539	8309
61	547	8288
62	556	8274
63	565	8264
64	573	8243
65	580	8221
66	589	8205
67	597	8183
68	604	8162
69	612	8140
70	620	8124
71	629	8107
72	637	8096
73	646	8090
74	655	8081
75	661	8047
76	671	8044
77	678	8025
78	687	8011
79	695	7996
80	704	7988
81	710	7952
82	718	7943
83	725	7908
84	733	7897
85	741	7877
86	749	7862
87	755	7828
88	762	7804
89	769	7778
90	776	7760
91	783	7737
92	790	7714
93	797	7690
94	804	7666
95	811	7640
96	818	7620
97	825	7596
98	832	7577
99	839	7559
100	857	7628
101	865	7621
102	872	7597
103	879	7579
104	886	7556
105	893	7538
106	900	7516
107	907	7496
108	914	7473
109	921	7457
110	928	7436
111	935	7415
112	942	7400
113	949	7381
114	957	7366
115	963	7344
116	971	7330
117	978	7315
118	986	7300
119	992	7281
120	999	7263
121	1006	7243
122	1013	7223
123	1020	7206
124	1027	7189
125	1033	7170
126	1041	7155
127	1049	7152
128	1057	7142
129	1064	7126
130	1072	7114
131	1079	7097
132	1086	7082
133	1093	7064
134	1100	7050
135	1106	7031
136	1114	7017
137	1120	6999
138	1128	6991
139	1136	6981
140	1144	6972
141	1151	6955
142	1159	6948
143	1167	6937
144	1175	6932
145	1184	6926
146	1192	6921
147	1200	6912
148	1207	6897
149	1215	6887
150	1222	6874
151	1229	6858
152	1236	6847
153	1252	6882
154	1259	6867
155	1266	6852
156	1273	6839
157	1280	6823
158	1286	6806
159	1293	6791
160	1300	6777
161	1307	6761
162	1313	6746
163	1320	6731
164	1327	6717
165	1334	6702
166	1340	6688
167	1347	6672
168	1353	6657
169	1360	6642
170	1366	6626
171	1373	6614
172	1380	6598
173	1387	6586
174	1393	6571
175	1401	6560
176	1408	6548
177	1415	6534
178	1421	6520
179	1428	6506
180	1435	6493
181	1441	6480
182	1448	6467
183	1455	6453
184	1462	6442
185	1469	6430
186	1476	6417
187	1483	6405
188	1489	6392
189	1496	6381
190	1503	6367
191	1510	6356
192	1517	6344
193	1523	6331
194	1530	6318
195	1536	6303
196	1543	6291
197	1550	6279
198	1557	6269
199	1564	6257
200	1571	6245
201	1577	6232
202	1585	6223
203	1591	6210
204	1598	6198
205	1605	6190
206	1612	6178
207	1619	6167
208	1626	6156
209	1633	6143
210	1640	6135
211	1647	6125
212	1654	6113
213	1662	6105
214	1668	6092
215	1675	6082
216	1682	6070
217	1689	6060
218	1697	6052
219	1704	6041
220	1710	6030
221	1719	6025
222	1727	6018
223	1735	6012
224	1742	6000
225	1748	5989
226	1756	5982
227	1763	5970
228	1770	5959
229	1776	5947
230	1783	5936
231	1789	5924
232	1796	5913
233	1803	5903
234	1810	5893
235	1817	5884
236	1824	5874
237	1831	5863
238	1838	5855
239	1845	5844
240	1855	5842
241	1864	5839
242	1874	5840
243	1883	5834
244	1890	5825
245	1897	5816
246	1904	5804
247	1910	5794
248	1917	5784
249	1924	5773
250	1931	5763
251	1937	5751
252	1945	5742
253	1952	5733
254	1958	5722
255	1965	5711
256	1971	5700
257	1978	5690
258	1985	5679
259	1991	5668
260	1998	5657
261	2004	5646
262	2011	5636
263	2018	5626
264	2025	5617
265	2032	5607
266	2038	5595
267	2045	5585
268	2051	5575
269	2058	5565
270	2065	5556
271	2073	5548
272	2080	5539
273	2086	5529
274	2093	5519
275	2100	5509
276	2107	5499
277	2113	5488
278	2119	5478
279	2127	5469
280	2133	5458
281	2140	5450
282	2147	5440
283	2154	5431
284	2160	5421
285	2167	5411
286	2174	5401
287	2180	5390
288	2187	5381
289	2193	5371
290	2200	5361
291	2207	5352
292	2214	5342
293	2221	5334
294	2228	5325
295	2236	5318
296	2243	5310
297	2251	5304
298	2258	5294
299	2265	5287
300	2274	5282
301	2282	5274
302	2289	5266
303	2297	5259
304	2304	5250
305	2311	5242
306	2318	5233
307	2325	5225
308	2332	5216
309	2341	5210
310	2348	5202
311	2355	5194
312	2362	5186
313	2369	5177
314	2376	5168
315	2383	5159
316	2390	5150
317	2397	5141
318	2404	5132
319	2411	5124
320	2418	5116
321	2426	5109
322	2433	5101
323	2442	5096
324	2449	5088
325	2457	5081
326	2465	5073
327	2473	5067
328	2480	5059
329	2488	5052
330	2495	5043
331	2502	5034
332	2509	5025
333	2515	5016
334	2523	5008
335	2529	4999
336	2537	4991
337	2544	4983
338	2551	4975
339	2558	4966
340	2565	4958
341	2572	4949
342	2579	4941
343	2586	4933
344	2593	4924
345	2600	4916
346	2607	4907
347	2615	4899
348	2622	4891
349	2629	4883
350	2636	4875
351	2643	4867
352	2651	4859
353	2658	4851
354	2665	4843
355	2673	4837
356	2681	4830
357	2689	4822
358	2696	4813
359	2702	4804
360	2709	4795
361	2716	4786
362	2722	4778
363	2730	4770
364	2737	4762
365	2745	4755
366	2752	4746
367	2759	4738
368	2766	4730
369	2773	4722
370	2779	4712
371	2786	4703
372	2793	4695
373	2799	4686
374	2806	4677
375	2813	4668
376	2820	4660
377	2826	4651
378	2834	4643
379	2841	4635
380	2848	4627
381	2854	4618
382	2861	4609
383	2869	4602
384	2884	4607
385	2891	4600
386	2898	4591
387	2905	4582
388	2912	4574
389	2919	4565
390	2925	4557
391	2932	4547
392	2939	4539
393	2945	4530
394	2953	4523
395	2960	4514
396	2967	4506
397	2973	4498
398	2980	4490
399	2987	4481
400	2995	4474
401	3003	4467
402	3010	4460
403	3017	4452
404	3024	4443
405	3031	4434
406	3037	4425
407	3044	4417
408	3051	4409
409	3058	4401
410	3065	4393
411	3072	4385
412	3080	4377
413	3087	4369
414	3093	4361
415	3101	4353
416	3107	4344
417	3114	4336
418	3121	4328
419	3128	4320
420	3134	4311
421	3141	4302
422	3148	4295
423	3155	4286
424	3162	4278
425	3168	4269
426	3175	4261
427	3182	4252
428	3188	4243
429	3195	4235
430	3201	4226
431	3208	4218
432	3214	4209
433	3222	4202
434	3228	4193
435	3235	4184
436	3241	4176
437	3248	4167
438	3255	4160
439	3262	4152
440	3269	4144
441	3276	4135
442	3283	4128
443	3290	4121
444	3298	4113
445	3305	4105
446	3312	4097
447	3318	4088
448	3324	4080
449	3331	4071
450	3338	4063
451	3344	4055
452	3351	4046
453	3358	4038
454	3365	4030
455	3372	4022
456	3378	4014
457	3385	4006
458	3391	3997
459	3398	3989
460	3404	3980
461	3411	3972
462	3418	3965
463	3426	3958
464	3434	3951
465	3442	3944
466	3449	3937
467	3457	3930
468	3464	3922
469	3471	3914
470	3479	3907
471	3486	3899
472	3492	3891
473	3500	3884
474	3508	3877
475	3515	3870
476	3522	3862
477	3529	3854
478	3536	3846
479	3543	3838
480	3550	3830
481	3557	3822
482	3564	3814
483	3571	3807
484	3578	3800
485	3585	3792
486	3593	3785
487	3601	3778
488	3608	3771
489	3615	3763
490	3622	3755
491	3629	3747
492	3636	3739
493	3643	3731
494	3650	3723
495	3657	3716
496	3664	3708
497	3671	3700
498	3678	3693
499	3685	3685
500	3692	3677
501	3698	3669
502	3707	3663
503	3714	3655
504	3722	3648
505	3729	3640
506	3735	3632
507	3742	3624
508	3748	3616
509	3755	3608
510	3761	3599
511	3768	3591
512	3775	3583
513	3782	3576
514	3788	3567
515	3795	3560
516	3802	3552
517	3809	3544
518	3816	3537
519	3824	3529
520	3831	3522
521	3837	3514
522	3843	3505
523	3850	3497
524	3857	3489
525	3863	3481
526	3870	3473
527	3877	3465
528	3884	3458
529	3890	3450
530	3897	3442
531	3904	3435
532	3912	3427
533	3920	3421
534	3931	3417
535	3940	3410
536	3947	3403
537	3954	3395
538	3961	3388
539	3968	3380
540	3975	3372
541	3983	3365
542	3989	3358
543	3997	3350
544	4004	3342
545	4012	3335
546	4018	3328
547	4025	3320
548	4031	3312
549	4038	3304
550	4045	3296
551	4052	3288
552	4058	3280
553	4065	3272
554	4071	3264
555	4079	3257
556	4085	3249
557	4092	3241
558	4099	3233
559	4106	3226
560	4113	3218
561	4119	3210
562	4127	3203
563	4135	3196
564	4142	3189
565	4148	3181
566	4155	3173
567	4161	3165
568	4168	3157
569	4175	3149
570	4182	3142
571	4189	3134
572	4195	3126
573	4202	3118
574	4208	3110
575	4215	3103
576	4221	3094
577	4228	3087
578	4235	3079
579	4241	3071
580	4248	3063
581	4255	3056
582	4261	3048
583	4268	3040
584	4275	3032
585	4281	3025
586	4302	3027
587	4309	3019
588	4316	3012
589	4323	3004
590	4331	2997
591	4340	2991
592	4349	2984
593	4357	2978
594	4364	2970
595	4372	2963
596	4380	2956
597	4388	2950
598	4396	2943
599	4403	2935
600	4410	2928
601	4418	2921
602	4426	2914
603	4435	2907
604	4442	2900
605	4451	2893
606	4458	2886
607	4465	2879
608	4473	2872
609	4481	2864
610	4494	2861
611	4503	2855
612	4512	2848
613	4520	2841
614	4528	2834
615	4536	2828
616	4545	2821
617	4554	2815
618	4562	2808
619	4570	2801
620	4577	2793
621	4586	2787
622	4594	2780
623	4602	2773
624	4609	2765
625	4618	2759
626	4626	2752
627	4633	2744
628	4641	2737
629	4649	2730
630	4657	2723
631	4664	2715
632	4671	2708
633	4679	2701
634	4686	2694
635	4694	2686
636	4701	2679
637	4709	2672
638	4716	2664
639	4723	2657
640	4731	2650
641	4739	2642
642	4748	2636
643	4757	2629
644	4770	2625
645	4779	2618
646	4794	2615
647	4801	2608
648	4810	2601
649	4817	2593
650	4825	2586
651	4834	2580
652	4841	2572
653	4849	2565
654	4857	2558
655	4864	2551
656	4872	2543
657	4880	2536
658	4887	2528
659	4894	2521
660	4902	2514
661	4909	2506
662	4917	2499
663	4925	2492
664	4932	2484
665	4940	2477
666	4947	2470
667	4955	2463
668	4963	2455
669	4971	2448
670	4978	2440
671	4986	2433
672	4994	2426
673	5002	2419
674	5010	2412
675	5018	2405
676	5026	2398
677	5034	2390
678	5041	2383
679	5048	2375
680	5055	2368
681	5063	2360
682	5070	2353
683	5077	2345
684	5084	2338
685	5091	2330
686	5098	2322
687	5105	2315
688	5112	2307
689	5120	2300
690	5128	2293
691	5135	2285
692	5142	2278
693	5150	2271
694	5157	2263
695	5165	2256
696	5172	2248
697	5180	2241
698	5187	2233
699	5194	2226
700	5201	2218
701	5226	2218
702	5234	2211
