iter	Passed	Remaining
0	7	7042
1	16	8132
2	27	9000
3	38	9575
4	47	9462
5	57	9534
6	66	9384
7	75	9338
8	93	10321
9	103	10226
10	111	10005
11	121	9988
12	130	9900
13	152	10723
14	166	10908
15	183	11263
16	191	11092
17	208	11353
18	220	11384
19	250	12273
20	260	12120
21	269	11961
22	280	11893
23	288	11715
24	298	11649
25	308	11561
26	333	12010
27	342	11899
28	350	11733
29	367	11875
30	380	11879
31	390	11822
32	411	12053
33	432	12290
34	442	12209
35	451	12094
36	461	12005
37	474	12017
38	487	12000
39	510	12251
40	520	12170
41	529	12071
42	538	11988
43	546	11879
44	557	11834
45	566	11750
46	576	11681
47	587	11644
48	595	11553
49	604	11494
50	624	11628
51	635	11592
52	644	11516
53	655	11482
54	666	11458
55	675	11380
56	685	11335
57	699	11362
58	708	11305
59	730	11440
60	738	11362
61	756	11444
62	767	11416
63	799	11686
64	818	11768
65	830	11756
66	840	11702
67	865	11858
68	875	11810
69	884	11752
70	911	11924
71	921	11875
72	948	12050
73	959	12003
74	968	11944
75	978	11892
76	988	11854
77	998	11799
78	1008	11757
79	1017	11701
80	1025	11636
81	1032	11560
82	1041	11502
83	1053	11486
84	1064	11453
85	1073	11412
86	1093	11472
87	1101	11412
88	1108	11347
89	1116	11291
90	1136	11356
91	1143	11286
92	1151	11229
93	1158	11166
94	1166	11115
95	1173	11051
96	1181	11002
97	1205	11091
98	1213	11042
99	1221	10990
100	1228	10936
101	1236	10886
102	1251	10902
103	1259	10851
104	1267	10802
105	1275	10753
106	1283	10707
107	1290	10660
108	1299	10624
109	1307	10579
110	1314	10528
111	1327	10521
112	1333	10470
113	1341	10427
114	1364	10498
115	1371	10452
116	1379	10412
117	1398	10454
118	1423	10535
119	1429	10484
120	1438	10446
121	1445	10399
122	1452	10355
123	1460	10315
124	1468	10279
125	1475	10237
126	1484	10203
127	1493	10173
128	1502	10145
129	1510	10106
130	1530	10152
131	1539	10123
132	1551	10116
133	1559	10077
134	1568	10046
135	1576	10015
136	1584	9980
137	1591	9940
138	1601	9917
139	1610	9893
140	1619	9867
141	1633	9872
142	1643	9849
143	1655	9839
144	1665	9819
145	1674	9795
146	1684	9776
147	1694	9754
148	1712	9779
149	1723	9763
150	1732	9738
151	1740	9710
152	1748	9678
153	1756	9648
154	1765	9624
155	1773	9594
156	1781	9566
157	1790	9542
158	1798	9514
159	1806	9485
160	1819	9481
161	1827	9455
162	1836	9430
163	1847	9418
164	1855	9389
165	1863	9361
166	1886	9407
167	1895	9385
