iter	Passed	Remaining
0	18	18724
1	23	11598
2	28	9505
3	50	12629
4	80	16072
5	96	15970
6	100	14237
7	104	12961
8	111	12291
9	127	12581
10	131	11781
11	142	11700
12	145	11081
13	149	10550
14	154	10171
15	172	10639
16	188	10904
17	204	11129
18	208	10766
19	212	10432
20	219	10217
21	235	10478
22	264	11255
23	280	11408
24	293	11461
25	297	11155
26	309	11143
27	313	10889
28	318	10675
29	340	11020
30	354	11092
31	370	11193
32	375	11003
33	401	11420
34	417	11506
35	433	11598
36	437	11392
37	448	11364
38	463	11410
39	467	11229
40	472	11044
41	508	11602
42	524	11677
43	540	11741
44	544	11566
45	571	11852
46	576	11680
47	589	11686
48	594	11528
49	618	11754
50	624	11615
51	632	11539
52	648	11584
53	652	11431
54	656	11287
55	661	11149
56	679	11237
57	683	11099
58	695	11090
59	711	11144
60	727	11196
61	732	11077
62	740	11018
63	756	11057
64	771	11092
65	775	10977
66	779	10857
67	784	10748
68	788	10637
69	793	10535
70	816	10677
71	820	10571
72	831	10557
73	835	10456
74	839	10358
75	843	10259
76	861	10321
77	865	10228
78	870	10143
79	875	10063
80	892	10120
81	895	10030
82	900	9952
83	906	9889
84	913	9834
85	920	9780
86	925	9714
87	929	9637
88	934	9568
89	940	9511
90	946	9452
91	964	9518
92	968	9444
93	972	9370
94	976	9300
95	981	9239
96	994	9261
97	1008	9286
98	1012	9218
99	1017	9154
100	1021	9091
101	1025	9029
102	1029	8965
103	1033	8905
104	1054	8986
105	1058	8923
106	1061	8862
107	1068	8820
108	1083	8854
109	1086	8794
110	1098	8799
111	1114	8835
112	1118	8781
113	1145	8904
114	1151	8859
115	1155	8805
116	1175	8871
117	1180	8826
118	1189	8806
119	1205	8838
120	1209	8786
121	1220	8783
122	1224	8731
123	1236	8736
124	1241	8688
125	1245	8638
126	1249	8591
127	1253	8539
128	1257	8489
129	1260	8438
130	1265	8392
131	1268	8343
132	1280	8348
133	1284	8299
134	1289	8265
135	1295	8229
136	1300	8192
137	1310	8186
138	1327	8224
139	1333	8188
140	1356	8264
141	1371	8286
142	1377	8257
143	1382	8219
144	1402	8270
145	1432	8379
146	1437	8342
147	1462	8420
148	1477	8437
149	1481	8395
150	1492	8390
151	1495	8345
152	1507	8344
153	1522	8364
154	1525	8319
155	1529	8275
156	1533	8232
157	1537	8195
158	1553	8217
159	1557	8174
160	1560	8132
161	1564	8091
162	1568	8054
163	1571	8013
164	1575	7972
165	1578	7932
166	1584	7901
167	1597	7909
168	1613	7933
169	1629	7953
170	1633	7918
171	1637	7880
172	1640	7841
173	1644	7804
174	1659	7822
175	1663	7786
176	1674	7786
177	1678	7753
178	1682	7716
179	1685	7678
180	1705	7715
181	1721	7736
182	1725	7703
183	1729	7669
184	1735	7643
185	1750	7661
186	1754	7626
187	1758	7593
188	1761	7559
189	1766	7530
190	1781	7546
191	1812	7625
192	1816	7593
193	1819	7560
194	1823	7529
195	1842	7558
196	1858	7575
197	1873	7589
198	1877	7556
199	1890	7561
200	1919	7628
201	1933	7640
202	1938	7608
203	1942	7579
204	1947	7552
205	1979	7630
206	1983	7597
207	1994	7592
208	2024	7663
209	2028	7631
210	2031	7597
211	2035	7565
212	2055	7593
213	2058	7561
214	2061	7528
215	2065	7495
216	2068	7464
217	2085	7480
218	2089	7450
219	2100	7447
220	2115	7458
221	2132	7472
222	2147	7482
223	2152	7455
224	2162	7447
225	2193	7513
226	2198	7487
227	2208	7477
228	2238	7535
229	2252	7541
230	2268	7550
231	2271	7520
232	2275	7491
233	2280	7463
234	2283	7434
235	2287	7405
236	2291	7376
237	2297	7356
238	2312	7363
239	2327	7371
240	2332	7345
241	2344	7342
242	2348	7315
243	2358	7306
244	2362	7279
245	2366	7252
246	2372	7232
247	2376	7205
248	2379	7177
249	2383	7149
250	2403	7173
251	2408	7149
252	2418	7141
253	2423	7117
254	2432	7106
255	2436	7080
256	2440	7054
257	2443	7028
